FID,name,counts
cer_states_view.fid--4d84af3e_1924afefe9a_2bab,Minas Gerais,410
cer_states_view.fid--4d84af3e_1924afefe9a_2bac,Bahia,388
cer_states_view.fid--4d84af3e_1924afefe9a_2bad,Mato Grosso,356
cer_states_view.fid--4d84af3e_1924afefe9a_2bae,Tocantins,304
cer_states_view.fid--4d84af3e_1924afefe9a_2baf,Goiás,304
cer_states_view.fid--4d84af3e_1924afefe9a_2bb0,Maranhão,298
cer_states_view.fid--4d84af3e_1924afefe9a_2bb1,Piauí,176
cer_states_view.fid--4d84af3e_1924afefe9a_2bb2,Mato Grosso do Sul,115
cer_states_view.fid--4d84af3e_1924afefe9a_2bb3,São Paulo,111
cer_states_view.fid--4d84af3e_1924afefe9a_2bb4,Distrito Federal,25
cer_states_view.fid--4d84af3e_1924afefe9a_2bb5,Pará,21
cer_states_view.fid--4d84af3e_1924afefe9a_2bb6,Paraná,3
