DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/09/15 17:05:00,AQUA_M-T,Brasil,RIO DE JANEIRO,RESENDE,Mata Atlântica,20,0.1,1.0,-22.4789,-44.43192,10.0
2024/09/15 17:05:00,AQUA_M-T,Brasil,RIO DE JANEIRO,BARRA MANSA,Mata Atlântica,20,0.16,0.98,-22.43931,-44.18486,18.8
2024/09/15 17:05:00,AQUA_M-T,Brasil,RIO DE JANEIRO,PETRÓPOLIS,Mata Atlântica,20,0.0,-999.0,-22.36515,-43.13107,12.1
2024/09/15 17:05:00,AQUA_M-T,Brasil,RIO DE JANEIRO,VALENÇA,Mata Atlântica,19,0.53,1.0,-22.29778,-43.63344,10.7
2024/09/15 17:05:00,AQUA_M-T,Brasil,SÃO PAULO,MOGI GUAÇU,Cerrado,21,0.1,1.0,-22.28681,-46.82899,31.9
2024/09/15 17:05:00,AQUA_M-T,Brasil,RIO DE JANEIRO,VASSOURAS,Mata Atlântica,19,0.28,1.0,-22.27851,-43.56783,36.2
2024/09/15 17:05:00,AQUA_M-T,Brasil,RIO DE JANEIRO,VASSOURAS,Mata Atlântica,19,0.19,1.0,-22.27659,-43.55102,19.7
2024/09/15 17:05:00,AQUA_M-T,Brasil,RIO DE JANEIRO,VALENÇA,Mata Atlântica,19,2.44,1.0,-22.2712,-44.04279,27.9
2024/09/15 17:05:00,AQUA_M-T,Brasil,RIO DE JANEIRO,VALENÇA,Mata Atlântica,19,2.65,1.0,-22.26646,-44.04887,37.0
2024/09/15 17:05:00,AQUA_M-T,Brasil,RIO DE JANEIRO,BOM JARDIM,Mata Atlântica,20,0.0,0.93,-22.22775,-42.26724,105.0
2024/09/15 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,CARMO DE MINAS,Mata Atlântica,8,0.91,0.99,-22.08424,-45.23898,115.8
2024/09/15 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,CARMO DE MINAS,Mata Atlântica,10,1.13,1.0,-22.0819,-45.21656,155.7
2024/09/15 17:05:00,AQUA_M-T,Brasil,RIO DE JANEIRO,SÃO SEBASTIÃO DO ALTO,Mata Atlântica,20,0.0,1.0,-21.98658,-42.13777,13.4
2024/09/15 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,ANDRELÂNDIA,Mata Atlântica,0,0.2,0.99,-21.88754,-44.24679,25.2
2024/09/15 17:05:00,AQUA_M-T,Brasil,RIO DE JANEIRO,SÃO SEBASTIÃO DO ALTO,Mata Atlântica,20,0.44,1.0,-21.87873,-42.09367,74.4
2024/09/15 17:05:00,AQUA_M-T,Brasil,RIO DE JANEIRO,SÃO SEBASTIÃO DO ALTO,Mata Atlântica,20,0.48,1.0,-21.87721,-42.08107,41.1
2024/09/15 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,ANDRELÂNDIA,Mata Atlântica,0,0.18,1.0,-21.87541,-44.24807,31.4
2024/09/15 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,ARANTINA,Mata Atlântica,1,0.1,1.0,-21.87332,-44.22902,44.0
2024/09/15 17:05:00,AQUA_M-T,Brasil,RIO DE JANEIRO,SÃO SEBASTIÃO DO ALTO,Mata Atlântica,20,0.42,1.0,-21.8727,-42.10048,23.3
2024/09/15 17:05:00,AQUA_M-T,Brasil,RIO DE JANEIRO,SÃO SEBASTIÃO DO ALTO,Mata Atlântica,20,0.51,1.0,-21.87104,-42.08735,70.5
2024/09/15 17:05:00,AQUA_M-T,Brasil,RIO DE JANEIRO,SÃO SEBASTIÃO DO ALTO,Mata Atlântica,20,0.56,1.0,-21.86692,-42.08285,36.5
2024/09/15 17:05:00,AQUA_M-T,Brasil,RIO DE JANEIRO,SÃO SEBASTIÃO DO ALTO,Mata Atlântica,20,0.62,1.0,-21.85912,-42.07613,83.1
2024/09/15 17:05:00,AQUA_M-T,Brasil,SÃO PAULO,TAMBAÚ,Cerrado,0,0.0,1.0,-21.66701,-47.26807,76.3
